lenguaje;matematicas;sociales;Id;filosofia;biologia;quimica;fisica;nivel_ingles; sisben;estrato;genero;puntaje_saber11   
alto;alto;alto;5237;alto;alto;alto;alto;A2;2;2;Hombre;medio
alto;alto;medio;5238;alto;alto;medio;medio;A2;5;3;Mujer;medio
alto;alto;medio;5239;medio;alto;medio;medio;A2;2;1;Hombre;medio
alto;medio;medio;5240;medio;medio;medio;medio;A-;3;3;Hombre;medio
alto;alto;alto;5241;alto;medio;alto;alto;A1;2;2;Mujer;medio
alto;medio;alto;5242;medio;medio;medio;medio;A2;2;2;Hombre;medio
medio;medio;medio;5243;medio;medio;medio;alto;A1;2;5;Mujer;medio
alto;alto;medio;5244;medio;alto;medio;medio;A-;5;2;Hombre;medio
medio;alto;medio;5245;medio;medio;medio;medio;A1;2;2;Mujer;medio
alto;superior;alto;5246;superior;alto;alto;medio;A2;5;1;Hombre;medio
alto;medio;alto;5247;alto;medio;alto;alto;A1;1;1;Hombre;medio
alto;alto;alto;5248;alto;alto;medio;medio;A1;1;2;Mujer;medio
alto;alto;alto;5249;medio;medio;alto;alto;B1;5;6;Mujer;medio
alto;alto;medio;5250;bajo;alto;medio;medio;A1;1;2;Mujer;medio
alto;alto;alto;5251;medio;alto;medio;alto;A-;5;4;Hombre;medio
alto;alto;alto;5252;medio;alto;alto;alto;A2;1;1;Mujer;medio
medio;medio;medio;5253;medio;medio;medio;medio;A-;1;3;Hombre;medio
alto;medio;medio;5254;alto;medio;alto;alto;A2;1;2;Mujer;medio
alto;alto;medio;5255;medio;alto;alto;medio;A-;2;3;Hombre;medio
alto;alto;alto;5256;alto;superior;alto;alto;B+;5;5;Hombre;medio
alto;medio;medio;5257;medio;medio;alto;medio;A1;5;2;Hombre;medio
medio;medio;medio;5258;medio;alto;medio;alto;A2;5;3;Hombre;medio
alto;medio;medio;5259;medio;alto;medio;medio;A1;2;3;Hombre;medio
alto;alto;medio;5260;alto;alto;alto;medio;A-;1;1;Hombre;medio
medio;alto;medio;5261;medio;alto;medio;medio;A1;1;1;Mujer;medio
alto;medio;medio;5262;medio;alto;medio;medio;A1;5;3;Hombre;medio
alto;alto;alto;5263;alto;alto;medio;alto;A-;1;1;Mujer;medio
alto;superior;medio;5264;medio;medio;alto;alto;A1;3;3;Hombre;medio
alto;alto;alto;5265;medio;medio;alto;medio;A1;1;1;Mujer;medio
medio;alto;medio;5266;medio;medio;alto;medio;A1;2;2;Hombre;medio
medio;alto;alto;5267;medio;alto;medio;alto;A1;5;4;Mujer;medio
alto;alto;alto;5268;medio;alto;medio;alto;A2;5;3;Hombre;medio
alto;alto;medio;5269;medio;alto;medio;medio;A1;1;1;Hombre;medio
medio;alto;alto;5270;medio;alto;alto;alto;A2;5;3;Mujer;medio
medio;medio;medio;5271;medio;alto;medio;alto;A-;1;1;Mujer;medio
alto;medio;medio;5272;medio;alto;medio;medio;A2;5;3;Mujer;medio
alto;alto;alto;5273;alto;alto;medio;medio;A1;5;2;Hombre;medio
alto;alto;alto;5274;alto;medio;alto;alto;A2;1;2;Hombre;medio
alto;superior;alto;5275;alto;alto;alto;alto;B1;5;4;Mujer;medio
alto;superior;alto;5276;alto;alto;alto;alto;B+;5;3;Hombre;medio
alto;alto;alto;5277;alto;alto;alto;medio;A1;5;4;Hombre;medio
medio;medio;alto;5278;medio;alto;medio;alto;A-;2;2;Hombre;medio
alto;medio;alto;5279;alto;medio;medio;medio;A1;3;3;Hombre;medio
alto;alto;alto;5280;medio;alto;medio;medio;A-;2;2;Mujer;medio
alto;alto;alto;5281;alto;alto;alto;medio;B1;5;3;Hombre;medio
medio;medio;medio;5282;medio;alto;alto;alto;A1;5;3;Hombre;medio
alto;alto;medio;5283;alto;alto;alto;medio;A2;2;2;Mujer;medio
medio;alto;alto;5284;alto;medio;alto;medio;A1;1;1;Hombre;medio
alto;medio;medio;5285;medio;medio;alto;medio;A2;2;2;Hombre;medio
alto;medio;medio;5286;medio;medio;medio;medio;A-;1;1;Hombre;medio
alto;alto;alto;5287;alto;alto;alto;alto;A1;2;2;Mujer;medio
alto;alto;medio;5288;medio;alto;alto;alto;A1;5;4;Hombre;medio
medio;alto;alto;5289;alto;alto;alto;medio;A1;1;2;Hombre;medio
alto;medio;alto;5290;alto;alto;alto;alto;B1;5;3;Hombre;medio
alto;medio;alto;5291;medio;medio;medio;medio;A1;2;2;Hombre;medio
alto;alto;medio;5292;medio;medio;alto;medio;A1;5;5;Mujer;medio
alto;alto;medio;5293;medio;alto;alto;alto;A2;1;1;Hombre;medio
medio;medio;medio;5294;medio;medio;medio;medio;A-;5;2;Hombre;medio
alto;alto;alto;5295;alto;alto;alto;alto;A2;3;3;Mujer;medio
alto;alto;alto;5296;medio;alto;alto;alto;B1;5;6;Mujer;medio
alto;alto;alto;5297;medio;alto;alto;medio;A2;1;1;Hombre;medio
alto;alto;alto;5298;alto;alto;alto;medio;B1;2;2;Mujer;medio
alto;medio;medio;5299;alto;medio;medio;medio;A2;5;3;Mujer;medio
medio;alto;medio;5300;medio;medio;medio;medio;A1;3;3;Mujer;medio
alto;alto;medio;5301;medio;alto;medio;medio;A2;5;2;Hombre;medio
medio;medio;medio;5302;medio;medio;alto;alto;A-;5;2;Hombre;medio
alto;medio;alto;5303;medio;medio;alto;medio;A2;5;4;Hombre;medio
medio;alto;medio;5304;medio;medio;alto;alto;A-;1;1;Hombre;medio
alto;alto;alto;5305;alto;medio;alto;alto;A2;1;1;Hombre;medio
alto;alto;alto;5306;medio;medio;medio;medio;B1;5;4;Hombre;medio
medio;medio;alto;5307;alto;alto;medio;alto;A1;2;2;Mujer;medio
alto;alto;alto;5308;medio;medio;medio;alto;A1;5;3;Hombre;medio
alto;bajo;medio;5309;medio;medio;medio;medio;A-;2;2;Hombre;medio
alto;alto;alto;5310;medio;alto;alto;alto;A2;5;3;Mujer;medio
alto;alto;alto;5311;medio;alto;medio;alto;B1;5;3;Mujer;medio
alto;alto;alto;5312;medio;alto;medio;alto;A1;1;1;Mujer;medio
medio;medio;medio;5313;bajo;medio;alto;medio;A-;5;3;Hombre;medio
alto;alto;alto;5314;alto;medio;medio;alto;B1;5;4;Hombre;medio
medio;medio;medio;5315;medio;medio;medio;alto;A-;2;2;Hombre;medio
alto;alto;alto;5316;alto;alto;alto;alto;A2;3;3;Mujer;medio
alto;alto;alto;5317;medio;alto;alto;alto;A1;5;3;Hombre;medio
medio;alto;medio;5318;alto;alto;alto;medio;A2;5;3;Hombre;medio
alto;medio;alto;5319;medio;alto;medio;medio;A1;5;3;Hombre;medio
medio;medio;medio;5320;medio;medio;medio;medio;A-;5;2;Mujer;medio
medio;medio;medio;5321;bajo;medio;medio;medio;A1;1;1;Mujer;medio
medio;alto;medio;5322;medio;medio;medio;alto;A1;5;4;Mujer;medio
alto;superior;alto;5323;medio;alto;alto;alto;A1;5;3;Hombre;medio
medio;medio;medio;5324;medio;medio;medio;medio;A1;2;2;Hombre;medio
alto;alto;medio;5325;alto;alto;alto;medio;A1;5;1;Hombre;medio
